MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,2815273,N. Camacho De Sá,N. Camacho De Sá,0,18.7,1120.0,9.0,1.0,5.0,1.0,3.0,2.0,8.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,-12.0,44.1,31.2,37.5,62.5,0.4,1.0,2.5,5.7,0.0,3.3,0.0,0.0,0.0,0.0,25.9
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,2860169,J. Roberts,J. Roberts,0,9.7,583.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,25.8,0.0,0.0,66.7,0.0,0.0,1.0,44.2,15.5,32.2,19.2,0.0,0.0,0.0,19.0
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,2812898,A. Izaw Bolavie,A. Izaw Bolavie,1,34.3,2060.0,4.0,2.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,7.0,9.0,1.0,2.0,2.0,4.0,0.0,4.0,0.0,10.0,-9.0,33.3,33.3,0.0,0.0,0.7,0.0,0.0,6.2,30.6,16.4,5.3,3.2,10.7,25.0,11.1
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,1384981,I. Aurrecoechea Alcolado,I. Aurrecoechea Alcolado,1,33.0,1983.0,20.0,8.0,13.0,0.0,0.0,8.0,13.0,4.0,5.0,5.0,9.0,14.0,2.0,4.0,0.0,0.0,3.0,2.0,6.0,30.0,3.0,65.8,61.5,0.0,38.5,1.2,0.0,0.8,22.7,29.2,26.5,12.7,0.0,0.0,20.8,28.1
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2736767,M. Diaz,M. Diaz,0,31.0,1858.0,15.0,4.0,5.0,2.0,4.0,6.0,9.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,15.0,12.0,79.4,77.8,44.4,11.1,1.6,1.5,0.5,0.0,6.9,4.0,11.2,0.0,0.0,9.6,16.3
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2157874,V. Alves Benite,V. Alves Benite,1,32.9,1974.0,15.0,2.0,7.0,3.0,8.0,5.0,15.0,2.0,2.0,0.0,6.0,6.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,5.0,2.0,47.2,43.3,53.3,13.3,0.6,1.1,0.7,0.0,19.5,11.4,0.0,0.0,0.0,23.9,30.7
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2224747,A. Rupérez Vázquez,A. Rupérez Vázquez,0,1.4,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,1710454,D. Manchon Crespo,D. Manchon Crespo,1,38.2,2292.0,20.0,6.0,11.0,2.0,5.0,8.0,16.0,2.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,3.0,2.0,4.0,24.0,12.0,56.3,56.2,31.2,25.0,1.1,1.2,1.0,0.0,11.2,6.5,20.8,5.8,0.0,0.0,22.5
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2703151,B. De Bisschop,B. De Bisschop,0,28.2,1690.0,6.0,3.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,4.0,3.0,7.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,7.0,15.0,33.3,33.3,0.0,0.0,0.7,0.0,0.0,21.3,11.4,15.5,11.5,0.0,4.0,0.0,15.4
2486403,17,981525,FLEXICAR FUENLABRADA,AWAY,2236015,G. Renfroe,G. Renfroe,1,27.9,1671.0,5.0,1.0,2.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,-1.0,50.0,50.0,60.0,0.0,1.0,1.0,0.0,0.0,11.5,6.7,10.9,0.0,0.0,28.6,12.1
