MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2486358,12,981343,SÚPER AGROPAL PALENCIA,AWAY,76.8,76.7,121.1,112.2,8.9,59.8,57.2,15.3,44.1,85.7,60.0,1.3,29.0,200,12000.0,93.0,23.0,42.0,11.0,27.0,34.0,69.0,14.0,20.0,15.0,18.0,33.0,18.0,14.0,8.0,1.0,3.0,25.0,22.0,95.0,35.0
2486359,12,981300,HESTIA MENORCA,HOME,72.2,71.5,119.2,135.4,-16.2,58.8,56.7,9.9,27.3,57.7,40.7,2.2,20.9,200,12000.0,86.0,20.0,31.0,12.0,36.0,32.0,67.0,10.0,14.0,9.0,15.0,24.0,18.0,8.0,5.0,1.0,1.0,21.0,21.0,87.0,-50.0
2486359,12,981431,MOVISTAR ESTUDIANTES,AWAY,70.9,71.5,135.4,119.2,16.2,66.7,62.5,12.2,42.3,72.7,59.3,1.6,28.1,200,12000.0,96.0,31.0,45.0,6.0,19.0,37.0,64.0,16.0,18.0,11.0,24.0,35.0,16.0,10.0,6.0,1.0,1.0,21.0,21.0,115.0,50.0
2486360,12,979920,GRUPO URETA TIZONA BURGOS,HOME,78.9,76.6,120.4,79.3,41.1,62.6,61.8,16.5,38.7,61.9,52.1,1.1,26.5,200,12000.0,95.0,18.0,38.0,16.0,30.0,34.0,68.0,11.0,18.0,12.0,26.0,38.0,16.0,15.0,9.0,1.0,2.0,23.0,19.0,99.0,180.0
2486360,12,981215,PALMER BASKET MALLORCA PALMA,AWAY,74.4,76.6,79.3,120.4,-41.1,39.7,35.6,17.7,38.1,61.3,47.9,0.3,28.8,200,12000.0,59.0,13.0,37.0,7.0,29.0,20.0,66.0,12.0,19.0,16.0,19.0,35.0,5.0,16.0,5.0,2.0,1.0,21.0,22.0,38.0,-180.0
2486361,12,981493,CLUB OURENSE BALONCESTO,AWAY,75.7,76.8,101.7,120.9,-19.2,53.0,50.8,13.1,19.5,65.4,37.3,1.9,34.9,200,12000.0,77.0,20.0,36.0,8.0,27.0,28.0,63.0,13.0,22.0,8.0,17.0,25.0,21.0,11.0,6.0,2.0,2.0,28.0,21.0,69.0,-85.0
2486361,12,980004,LEYMA CORUÑA,HOME,77.8,76.7,120.9,101.7,19.2,62.0,58.7,12.7,34.6,80.5,62.7,2.1,46.0,200,12000.0,94.0,25.0,42.0,8.0,21.0,33.0,63.0,20.0,29.0,9.0,33.0,42.0,23.0,11.0,6.0,2.0,2.0,21.0,28.0,124.0,85.0
2486362,12,981125,CAJA RURAL CB ZAMORA,AWAY,78.1,79.9,102.4,129.8,-27.4,50.6,47.1,15.9,36.4,71.0,50.7,0.9,33.3,200,12000.0,80.0,16.0,44.0,11.0,25.0,27.0,69.0,15.0,23.0,16.0,22.0,38.0,14.0,15.0,3.0,0.0,4.0,21.0,20.0,69.0,-130.0
2486362,12,981421,MONBUS OBRADOIRO,HOME,81.7,79.9,129.8,102.4,27.4,62.6,58.7,6.6,29.0,63.6,49.3,4.3,29.3,200,12000.0,106.0,26.0,39.0,12.0,36.0,38.0,75.0,18.0,22.0,9.0,28.0,37.0,26.0,6.0,8.0,4.0,0.0,21.0,21.0,134.0,130.0
2486363,12,981203,INVEREADY GIPUZKOA,HOME,71.4,71.0,117.7,87.8,29.9,53.6,50.7,11.3,42.5,87.1,62.0,1.1,27.1,200,12000.0,84.0,22.0,37.0,9.0,33.0,31.0,70.0,13.0,19.0,17.0,27.0,44.0,11.0,10.0,5.0,2.0,2.0,24.0,21.0,88.0,110.0
2486363,12,979769,MELILLA CIUDAD DEL DEPORTE,AWAY,70.6,71.0,87.8,117.7,-29.9,49.5,39.8,16.1,12.9,57.5,38.0,1.1,63.3,200,12000.0,62.0,9.0,27.0,7.0,22.0,16.0,49.0,23.0,31.0,4.0,23.0,27.0,13.0,12.0,3.0,2.0,2.0,21.0,24.0,57.0,-110.0
2486364,12,979907,GRUPO ALEGA CANTABRIA,AWAY,75.5,75.8,98.0,89.1,8.9,54.8,50.8,15.1,12.1,84.8,48.5,1.2,28.3,200,12000.0,74.0,20.0,37.0,7.0,23.0,27.0,60.0,13.0,17.0,4.0,28.0,32.0,15.0,12.0,8.0,1.0,1.0,19.0,21.0,83.0,30.0
2486364,12,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,HOME,76.4,76.0,89.1,98.0,-8.9,49.7,47.5,16.0,15.2,87.9,51.5,0.9,31.7,200,12000.0,68.0,24.0,42.0,3.0,18.0,27.0,60.0,11.0,19.0,5.0,29.0,34.0,12.0,13.0,9.0,1.0,1.0,21.0,19.0,68.0,-30.0
2486366,13,981421,MONBUS OBRADOIRO,AWAY,79.1,77.9,145.4,58.7,86.7,76.6,73.0,15.7,40.0,75.0,60.7,1.8,52.5,200,12000.0,115.0,28.0,40.0,11.0,21.0,39.0,61.0,26.0,32.0,10.0,27.0,37.0,25.0,14.0,11.0,6.0,4.0,17.0,27.0,162.0,350.0
2486366,13,981215,PALMER BASKET MALLORCA PALMA,HOME,76.7,77.9,58.7,145.4,-86.7,35.9,30.7,26.8,25.0,60.0,39.3,0.4,22.8,200,12000.0,45.0,10.0,27.0,5.0,30.0,15.0,57.0,10.0,13.0,9.0,15.0,24.0,9.0,23.0,5.0,4.0,6.0,27.0,17.0,9.0,-350.0
2486367,13,979920,GRUPO URETA TIZONA BURGOS,HOME,75.3,76.3,95.6,109.8,-14.2,50.5,47.7,19.3,36.1,66.7,49.2,1.0,18.2,200,12000.0,72.0,21.0,35.0,7.0,31.0,28.0,66.0,9.0,12.0,13.0,18.0,31.0,17.0,17.0,9.0,3.0,1.0,21.0,19.0,72.0,-65.0
2486367,13,979989,HLA ALICANTE,AWAY,77.4,76.3,109.8,95.6,14.2,59.5,49.1,17.4,33.3,63.9,50.8,0.7,62.5,200,12000.0,85.0,17.0,34.0,7.0,22.0,24.0,56.0,30.0,35.0,9.0,23.0,32.0,10.0,15.0,10.0,1.0,3.0,19.0,19.0,86.0,65.0
2486368,13,981525,FLEXICAR FUENLABRADA,HOME,77.4,77.1,94.4,87.2,7.2,55.0,54.3,20.4,22.2,80.8,50.9,0.9,32.8,200,12000.0,73.0,24.0,35.0,5.0,23.0,29.0,58.0,10.0,19.0,6.0,21.0,27.0,16.0,17.0,11.0,1.0,2.0,17.0,17.0,73.0,30.0
2486368,13,981343,SÚPER AGROPAL PALENCIA,AWAY,76.8,77.1,87.2,94.4,-7.2,53.3,50.0,23.2,19.2,77.8,49.1,0.7,19.0,200,12000.0,67.0,17.0,28.0,8.0,30.0,25.0,58.0,9.0,11.0,5.0,21.0,26.0,13.0,19.0,9.0,2.0,1.0,18.0,17.0,62.0,-30.0
2486369,13,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,HOME,74.4,77.7,107.6,110.0,-2.4,50.4,45.8,11.2,36.6,51.4,43.4,1.7,26.8,200,12000.0,80.0,16.0,37.0,11.0,34.0,27.0,71.0,15.0,19.0,15.0,18.0,33.0,17.0,10.0,9.0,6.0,4.0,24.0,20.0,83.0,-45.0
2486369,13,980004,LEYMA CORUÑA,AWAY,80.9,77.6,110.0,107.6,2.4,54.3,49.3,16.3,48.6,63.4,56.6,1.2,38.6,200,12000.0,89.0,24.0,42.0,7.0,28.0,31.0,70.0,20.0,27.0,17.0,26.0,43.0,20.0,16.0,7.0,4.0,6.0,20.0,24.0,105.0,45.0
2486370,13,981493,CLUB OURENSE BALONCESTO,HOME,67.3,68.1,114.4,129.1,-14.7,53.2,46.7,8.8,37.5,57.7,46.6,1.6,46.7,200,12000.0,77.0,19.0,43.0,6.0,17.0,25.0,60.0,21.0,28.0,12.0,15.0,27.0,11.0,7.0,4.0,3.0,2.0,16.0,24.0,81.0,-60.0
2486370,13,981203,INVEREADY GIPUZKOA,AWAY,68.9,68.1,129.1,114.4,14.7,65.5,65.8,15.0,42.3,62.5,53.4,1.6,30.0,200,12000.0,89.0,23.0,38.0,11.0,22.0,34.0,60.0,10.0,18.0,11.0,20.0,31.0,19.0,12.0,4.0,2.0,3.0,25.0,16.0,90.0,60.0
2486371,13,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,71.8,72.5,90.5,105.3,-14.8,50.9,50.8,14.7,10.0,75.0,41.4,1.5,18.6,200,12000.0,65.0,21.0,39.0,6.0,20.0,27.0,59.0,5.0,11.0,3.0,21.0,24.0,17.0,11.0,7.0,0.0,0.0,24.0,20.0,60.0,-60.0
2486371,13,979907,GRUPO ALEGA CANTABRIA,HOME,73.1,72.5,105.3,90.5,14.8,56.5,50.0,15.0,25.0,90.0,58.6,1.5,39.7,200,12000.0,77.0,14.0,25.0,10.0,33.0,24.0,58.0,19.0,23.0,7.0,27.0,34.0,18.0,12.0,5.0,0.0,0.0,20.0,24.0,88.0,60.0
2486372,13,981124,ALIMERKA OVIEDO BALONCESTO,AWAY,85.9,77.8,118.7,116.6,2.1,59.4,58.3,14.9,37.5,57.8,48.2,1.3,23.1,225,13500.0,102.0,17.0,29.0,19.0,49.0,36.0,78.0,11.0,18.0,15.0,26.0,41.0,20.0,15.0,7.0,1.0,2.0,26.0,21.0,102.0,-10.0
