match_id,jornada,fecha_jornada,equipo_local,equipo_visitante,resultado
2486429,Jornada 20,10/02/2026,HLA ALICANTE,MELILLA CIUDAD DEL DEPORTE,78-71
2486430,Jornada 20,10/02/2026,FIBWI MALLORCA BASQUET PALMA,FLEXICAR FUENLABRADA,79-80
2486431,Jornada 20,10/02/2026,LEYMA CORUÑA,CAJA RURAL CB ZAMORA,81-76
2486432,Jornada 20,10/02/2026,MONBUS OBRADOIRO,HESTIA MENORCA,100-86
2486433,Jornada 20,10/02/2026,INVEREADY GIPUZKOA,GRUPO URETA TIZONA BURGOS,93-65
2486435,Jornada 20,10/02/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,CLOUD.GAL OURENSE BALONCESTO,81-80
2486436,Jornada 20,10/02/2026,SÚPER AGROPAL PALENCIA,PALMER BASKET MALLORCA PALMA,85-69
2486437,Jornada 20,10/02/2026,GRUPO ALEGA CANTABRIA,ALIMERKA OVIEDO BALONCESTO,79-87
2486438,Jornada 21,15/02/2026,FIBWI MALLORCA BASQUET PALMA,HESTIA MENORCA,69-76
2486439,Jornada 21,15/02/2026,PALMER BASKET MALLORCA PALMA,LEYMA CORUÑA,65-85
2486440,Jornada 21,15/02/2026,GRUPO URETA TIZONA BURGOS,CAJA RURAL CB ZAMORA,93-101
2486441,Jornada 21,15/02/2026,FLEXICAR FUENLABRADA,HLA ALICANTE,87-90
2486442,Jornada 21,15/02/2026,CLOUD.GAL OURENSE BALONCESTO,MOVISTAR ESTUDIANTES,103-97
2486443,Jornada 21,15/02/2026,ALIMERKA OVIEDO BALONCESTO,SÚPER AGROPAL PALENCIA,61-76
2486444,Jornada 21,15/02/2026,GRUPO ALEGA CANTABRIA,INVEREADY GIPUZKOA,91-90
2486445,Jornada 21,15/02/2026,MELILLA CIUDAD DEL DEPORTE,MONBUS OBRADOIRO,70-92
2486447,Jornada 22,20/02/2026,HLA ALICANTE,HESTIA MENORCA,58-76
2486448,Jornada 22,20/02/2026,GRUPO URETA TIZONA BURGOS,ALIMERKA OVIEDO BALONCESTO,82-89
2486449,Jornada 22,20/02/2026,LEYMA CORUÑA,MOVISTAR ESTUDIANTES,105-82
2486451,Jornada 22,20/02/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,PALMER BASKET MALLORCA PALMA,66-82
2486452,Jornada 22,20/02/2026,CLOUD.GAL OURENSE BALONCESTO,FIBWI MALLORCA BASQUET PALMA,81-69
2486453,Jornada 22,20/02/2026,SÚPER AGROPAL PALENCIA,FLEXICAR FUENLABRADA,97-74
